name;description;insee;lat;long
A LA FONT;1390 Civrieux;1105;45.916667;4.883333
RUE DE LA FONT BENITE;1600 Reyrieux;1322;45.933333;4.816667
RUE DE LA FONT MARTIN;1600 Reyrieux;1322;45.933333;4.816667
AU DESSUS DES FONTINETTES;2200 Acy;2003;49.35;3.416667
LES FONTINETTES;2200 Acy;2003;49.35;3.416667
LES FONTINETTES NORD;2200 Acy;2003;49.35;3.416667
LA FONTINETTE;2340 Agnicourt-et-Séchelles;2004;49.716667;3.95
LES FONTINETTES;2190 Aguilcourt;2005;49.4;3.966667
LES FONTINETTES;2200 Ambrief;2012;49.316667;3.4
AU BOUT DE LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
IMP FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
RUE DE LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
RLE DE LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
LES FONTINETTES;2840 Athies-sous-Laon;2028;49.566667;3.683333
LA FONTINETTE;2580 Autreppes;2040;49.9;3.85
LES FONTINETTES;2290 Bagneux;2043;49.466667;3.283333
LA FONTINETTE;2700 Barisis;2049;49.578698;3.327889
AU DESSUS DES FONTINETTES;2330 Baulne-en-Brie;2053;48.983333;3.616667
LES FONTINETTES;2330 Baulne-en-Brie;2053;48.983333;3.616667
LES FONTINETTES;2440 Benay;2066;49.75;3.316667
LA FONTINETTE;2300 Béthancourt-en-Vaux;2081;49.616667;3.15
LA FONTINETTE;2210 Beugneux;2082;49.233333;3.416667
LA FONTINETTE;2400 Bézu-Saint-Germain;2085;49.1;3.4
LES FONTINETTES;2400 Bézu-Saint-Germain;2085;49.1;3.4
LA FONTINETTE;2270 Bois-lès-Pargny;2096;49.716667;3.65
LES FONTINETTES;2160 Bouffignereux;2104;49.366667;3.85
VIGNES DES FONTINETTES;2160 Bouffignereux;2104;49.366667;3.85
LES FONTINETTES;2880 Braye;2118;49.433333;3.366667
LA FONTINETTE;2860 Bruyères-et-Montbérault;2128;49.516667;3.666667
LA FONTINETTE;2860 Chérêt;2177;49.516667;3.683333
LA FONTINETTE;2000 Chéry-lès-Pouilly;2180;49.65;3.6
LA FONTINETTE;2160 Concevreux;2208;49.383333;3.783333
RUE DES FONTINETTES;2370 Condé-sur-Aisne;2210;49.4;3.45
RUE DE LA FONTINETTE;2840 Coucy-lès-Eppes;2218;49.55;3.766667
LES FONTINETTES;2880 Cuffies;2245;49.416667;3.316667
LES FONTINETTES;2160 Cuiry-lès-Chaudardes;2250;49.383333;3.766667
LA FONTINETTE;2200 Cuisy-en-Almont;2253;49.416667;3.25
RUE DE LA FONTINETTE;2220 Cys-la-Commune;2255;49.4;3.566667
LA FONTINETTE;2690 Essigny-le-Grand;2287;49.766667;3.283333
LA FONTINETTE;2320 Faucoucourt;2301;49.533333;3.466667
LES FONTINETTES;2460 La Ferté-Milon;2307;49.166667;3.116667
LA FONTINETTE;2260 La Flamengrie;2312;50;3.916667
CHE DE LA FONTINETTE;2260 La Flamengrie;2312;50;3.916667
LES FONTINETTES;2670 Folembray;2318;49.55;3.283333
LES FONTINETTES;2650 Fossoy;2328;49.05;3.483333
LA FONTINETTE;2870 Fourdrain;2329;49.6;3.466667
LA FONTINETTE;2300 Guny;2363;49.516667;3.266667
LA DROITE DES FONTINETTES;2160 Guyencourt;2364;49.35;3.833333
LES FONTINETTES;2160 Guyencourt;2364;49.35;3.833333
LES FONTINETTES;2440 Hinacourt;2380;49.733333;3.283333
LA FONTINETTE;2140 Jeantes;2391;49.8;4.05
LE FONT DE FRUTY;2880 Laffaux;2400;49.45;3.416667
LA FONTINETTE;2000 Laon;2408;49.566667;3.616667
LA FONTINETTE;2500 Leuze;2425;49.85;4.15
LES FONTINETTES;2470 Macogny;2449;49.166667;3.233333
LA FONTINETTE;2160 Maizy;2453;49.383333;3.733333
LA FONTINETTE;2820 Mauregny-en-Haye;2472;49.533333;3.8
CR DIT DE LA FONTINETTE;2630 Mennevret;2476;49.983333;3.55
RUE DE LA FONTINETTE;2630 Mennevret;2476;49.983333;3.55
LES FONTINETTES;2720 Mesnil-Saint-Laurent;2481;49.833333;3.35
LA FONTINETTE;2000 Molinchart;2489;49.566667;3.533333
LES FONTINETTES;2470 Monnes;2496;49.15;3.216667
AU DESSUS DE LA FONTINETTE;2820 Montaigu;2498;49.533333;3.833333
LA FONTINETTE;2820 Montaigu;2498;49.533333;3.833333
LES FONTINETTES;2400 Monthiers;2509;49.1;3.3
LA FONTINETTE;2270 Montigny-sur-Crécy;2517;49.716667;3.583333
LES FONTINETTES;2160 Moulins;2530;49.416667;3.683333
LES FONTINETTES;2210 Muret-et-Crouttes;2533;49.283333;3.416667
RUE DES FONTINETTES;2210 Muret-et-Crouttes;2533;49.283333;3.416667
LES FONTINETTES;2140 Nampcelles-la-Cour;2535;49.783333;4
RUE FONTE;2450 Oisy;2569;50.016667;3.666667
LA FONTINETTE;2550 Origny-en-Thiérache;2574;49.9;4.016667
LES FONTINETTES;2370 Ostel;2577;49.433333;3.566667
LA FONTINETTE;2840 Parfondru;2587;49.533333;3.716667
DESSOUS LES FONTINETTES;2270 Pargny-les-Bois;2591;49.716667;3.616667
LES FONTINETTES;2310 Pavant;2596;48.95;3.283333
LES FONTINETTES;2310 Pavant;2622;48.95;3.283333
LES FONTINETTES;2850 Reuilly-Sauvigny;2645;49.066667;3.55
LA FONTINETTE;2140 Rogny;2652;49.766667;3.816667
LES FONTINETTES;2160 Roucy;2656;49.366667;3.816667
LA FONTINETTE;2210 Rozet-Saint-Albin;2662;49.2;3.3
AU DESSUS DES FONTINETTES;2330 Saint-Agnan;2669;49.016667;3.6
LES FONTINETTES;2330 Saint-Agnan;2669;49.016667;3.6
LA FONTINETTE;2300 Saint-Aubin;2671;49.516667;3.183333
LES FONTINETTES DU PATARD;2290 Saint-Christophe-à-Berry;2673;49.416667;3.133333
LA FONTINETTE;2350 Sainte-Preuve;2690;49.616667;3.916667
LA FONTINETTE;2220 Sermoise;2714;49.366667;3.45
FONTINETTE;2140 Thenailles;2740;49.816667;3.95
FONTINETTE;2810 Torcy-en-Valois;2744;49.083333;3.266667
RUE DE LA FONTINETTE;2320 Vaudesson;2766;49.466667;3.483333
LA FONTINETTE;2200 Venizel;2780;49.366667;3.383333
LES FONTINETTES;2400 Verdilly;2781;49.066667;3.416667
LES FONTINETTES;2130 Villers-Agron-Aiguizy;2809;49.15;3.7
LES FONTINETTES;2130 Villers-sur-Fère;2816;49.183333;3.533333
LE HAUT DES FONTINETTES;2130 Villers-sur-Fère;2816;49.183333;3.533333
LES FONTINETTES;2220 Ville-Savoye;2817;49.3;3.633333
AU-DESSUS DE LA FONTINETTE;2880 Vregny;2828;49.416667;3.416667
LA FONTINETTE;2880 Vregny;2828;49.416667;3.416667
LES FONTINETTES;2880 Vuillery;2829;49.433333;3.383333
LA FONT DES GRIMAUX;3200 Abrest;3001;46.1;3.433333
FONTVIEILLE;3200 Abrest;3001;46.1;3.433333
LA FONT DU CASSIOT;3200 Abrest;3001;46.1;3.433333
CHAMP DE LA FONT;3210 Agonges;3002;46.6;3.15
DOMAINE LA FONT VIGNE;3210 Agonges;3002;46.6;3.15
DOMAINE LAFONT;3210 Agonges;3002;46.6;3.15
LA FONT CAILLET;3210 Agonges;3002;46.6;3.15
PRE DE LA FONT;3210 Agonges;3002;46.6;3.15
PRE DE LAFONT;3210 Agonges;3002;46.6;3.15
LA FONT ABLIN;3360 Ainay-le-Château;3003;46.716667;2.7
FONT COURT;3380 Archignat;3005;46.383333;2.416667
LA FONT DES VERNES;3380 Archignat;3005;46.383333;2.416667
LA FONT TROIS CHENES;3380 Archignat;3005;46.383333;2.416667
LA FONT VIEILLE;3380 Archignat;3005;46.383333;2.416667
LES FONTS;3640 Arfeuilles;3006;46.157161;3.726529
CHAMP DE LA FONT;3460 Aubigny;3009;46.683333;3.166667
LA FONT CHATEAU;3460 Aubigny;3009;46.683333;3.166667
LES FONTS BLANCHES;3460 Aubigny;3009;46.683333;3.166667
LA FONT BRUN;3190 Audes;3010;46.45;2.566667
PRE DE LA FONT;3460 Aurouër;3011;46.683333;3.3
CHAMP DE LA FONT;3210 Autry-Issards;3012;46.55;3.133333
LA FONT FROMAGERE;3210 Autry-Issards;3012;46.55;3.133333
LA FONT MACON;3210 Autry-Issards;3012;46.55;3.133333
LE FONT MAYET;3210 Autry-Issards;3012;46.55;3.133333
PRE DE LA FONT;3210 Autry-Issards;3012;46.55;3.133333
CHAMP DE LA FONT;3460 Bagneux;3015;46.65;3.2
PRE DE LA FONT;3460 Bagneux;3015;46.65;3.2
PRE DE LA FONT DE LA TERRA;3460 Bagneux;3015;46.65;3.2
LA FONT;3120 Barrais-Bussolles;3017;46.283333;3.733333
LA FONT CANARD;3500 Bayet;3018;46.25;3.266667
LES FONTS BOUDES;3500 Bayet;3018;46.25;3.266667
LA FONT D'HUILE;3230 Beaulon;3019;46.6;3.666667
CHAMP LAFONT;3800 Bègues;3021;46.133333;3.15
CHAMP DE LA FONT;3330 Bellenaves;3022;46.2;3.083333
LA FONT JENSAI;3330 Bellenaves;3022;46.2;3.083333
RES DE LA FONT SAINT GEORGES;3700 Bellerive-sur-Allier;3023;46.116667;3.4
RUE DE LA FONT SAINT GEORGES;3700 Bellerive-sur-Allier;3023;46.116667;3.4
LA FONT;3340 Bessay-sur-Allier;3025;46.433333;3.366667
LA FONT FREQUENT;3210 Besson;3026;46.466667;3.266667
IMP FONT FREQUENT;3210 Besson;3026;46.466667;3.266667
FONT SAINT HUILE;3170 Bézenet;3027;46.333333;2.85
PRE DE LA FONT;3120 Billezois;3028;46.216667;3.566667
RUE FONT CESAR;3260 Billy;3029;46.233333;3.433333
CHAMP DE LA FONT;3800 Biozat;3030;46.066667;3.266667
LA FONT PAROT;3800 Biozat;3030;46.066667;3.266667
LA FONT PARROT;3800 Biozat;3030;46.066667;3.266667
RTE DE FONT NOBLE;3800 Biozat;3030;46.066667;3.266667
CHE DE LA FONT PARROT;3800 Biozat;3030;46.066667;3.266667
PL DE LA FONT PARROT;3800 Biozat;3030;46.066667;3.266667
RUE DE LA FONT PIGEON;3800 Biozat;3030;46.066667;3.266667
LA FONT;3170 Bizeneuille;3031;46.4;2.733333
LA FONT MORET;3170 Bizeneuille;3031;46.4;2.733333
LE PRE DE LA FONT;3170 Bizeneuille;3031;46.4;2.733333
FONT MAILLAUD;3390 Blomard;3032;46.283333;2.983333
LA FONT SALEE;3390 Blomard;3032;46.283333;2.983333
PRES DE LA FONT SALEE;3390 Blomard;3032;46.283333;2.983333
LA FONT;3130 Le Bouchaud;3035;46.3;3.883333
FONT NERIS;3160 Bourbon-l'Archambault;3036;46.583333;3.05
RUE DE FONT NERIS;3160 Bourbon-l'Archambault;3036;46.583333;3.05
LA FONT AUX BARRES;3360 Braize;3037;46.666667;2.65
LA FONT DU VERNE;3350 Le Brethon;3041;46.566667;2.716667
LA FONT VILLESOUL;3350 Le Brethon;3041;46.566667;2.716667
LES FONTS HENRI;3350 Le Brethon;3041;46.566667;2.716667
RUE DE LA FONT VILSOUS;3350 Le Brethon;3041;46.566667;2.716667
CHATEAU DE LAFONT;3110 Broût-Vernet;3043;46.183333;3.283333
LA FONT DU THE;3110 Broût-Vernet;3043;46.183333;3.283333
LAFONT;3110 Broût-Vernet;3043;46.183333;3.283333
CHAMP DE LA FONT;3700 Brugheas;3044;46.083333;3.366667
LA FONT VIGNAUD;3700 Brugheas;3044;46.083333;3.366667
LA FONT BOUDIN;3270 Busset;3045;46.066667;3.516667
LES FONTS VIVES;3270 Busset;3045;46.066667;3.516667
LA FONT PERRET;3440 Buxières-les-Mines;3046;46.466667;2.966667
LA FONT PEZEE;3440 Buxières-les-Mines;3046;46.466667;2.966667
LA FONT ROSEAU;3440 Buxières-les-Mines;3046;46.466667;2.966667
LA FONT CROUSE;3600 La Celle;3047;46.228192;2.780188
LA FONT DU COURE;3600 La Celle;3047;46.228192;2.780188
FONT FRAY;3600 La Celle;3047;46.228192;2.780188
LA FONT;3350 Cérilly;3048;46.616667;2.833333
LA FONT DU LOUP;3350 Cérilly;3048;46.616667;2.833333
LA FONT PICHOT;3350 Cérilly;3048;46.616667;2.833333
LA FONT SARAZIN;3350 Cérilly;3048;46.616667;2.833333
IMP DE LA FONT COMPAS;3350 Cérilly;3048;46.616667;2.833333
RUE DE LA FONT DU LOUP;3350 Cérilly;3048;46.616667;2.833333
RUE DE LA FONT PICHOT;3350 Cérilly;3048;46.616667;2.833333
RUE DE LA FONT SARRAZIN;3350 Cérilly;3048;46.616667;2.833333
LA FONT VIVEROT;3500 Cesset;3049;46.3;3.216667
LA FONT ROUILLAT;3370 Chambérat;3051;46.416667;2.416667
LA FONT DE L'AUME;3140 Chantelle;3053;46.233333;3.15
FONT NEUVE;3140 Chantelle;3053;46.233333;3.15
CHE DE LA FONT NEUVE;3140 Chantelle;3053;46.233333;3.15
RUE DE LA FONT NEUVE;3140 Chantelle;3053;46.233333;3.15
LA FONT DE RIANT;3380 La Chapelaude;3055;46.416667;2.5
CHAMP DE FONT;3390 Chappes;3058;46.386343;2.934014
CHAMP DE LA FONT;3390 Chappes;3058;46.386343;2.934014
CHAMP DES FONTS;3390 Chappes;3058;46.386343;2.934014
CHAMP FONT LEON;3390 Chappes;3058;46.386343;2.934014
LA FONT;3390 Chappes;3058;46.386343;2.934014
FONT LION;3390 Chappes;3058;46.386343;2.934014
GRAND PRE DE FONT LEON;3390 Chappes;3058;46.386343;2.934014
PETIT PRE DE FONT LEON;3390 Chappes;3058;46.386343;2.934014
PRE DE FONT LEON;3390 Chappes;3058;46.386343;2.934014
PRE DE LA FONT;3390 Chappes;3058;46.386343;2.934014
VERGER DE LA FONT;3390 Chappes;3058;46.386343;2.934014
LA FONT DU PORT;3110 Charmeil;3060;46.166667;3.4
RUE DE LA FONT DU PORT;3110 Charmeil;3060;46.166667;3.4
CHAMP DE LA FONT;3800 Charmes;3061;46.083333;3.25
LA FONT DU MAI;3140 Charroux;3062;46.186410;3.160596
LA FONT FUMERIE;3140 Charroux;3062;46.186410;3.160596
FONT VERGEAT;3140 Charroux;3062;46.186410;3.160596
FONT BATTIANT;3250 Châtel-Montagne;3066;46.116667;3.683333
FONT BEURRIER;3250 Châtel-Montagne;3066;46.116667;3.683333
LA FONT FROIDE;3250 Châtel-Montagne;3066;46.116667;3.683333
FONT LIZIER;3250 Châtel-Montagne;3066;46.116667;3.683333
FONT DE L'EAU DE SUC;3210 Châtillon;3069;46.466667;3.133333
LE PETIT FONT;3210 Châtillon;3069;46.466667;3.133333
CHAMP DE LA FONT;3440 Chavenon;3070;46.416667;2.95
CHAMP DE LA FONT DU PEAGE;3440 Chavenon;3070;46.416667;2.95
LA FONT BARJOT;3440 Chavenon;3070;46.416667;2.95
LE FONT BAYAND;3440 Chavenon;3070;46.416667;2.95
LE FONT PIAGE;3440 Chavenon;3070;46.416667;2.95
PRE DE LA FONT ;3440 Chavenon;3070;46.416667;2.95
PRE DE LA FONT FAIZE;3440 Chavenon;3070;46.416667;2.95
CHAMP DE LA FONT;3210 Chemilly;3073;46.483333;3.316667
LA FONT DU CHIEN;3210 Chemilly;3073;46.483333;3.316667
LA FONT DU LOUP;3210 Chemilly;3073;46.483333;3.316667
PRE DE LA FONT;3210 Chemilly;3073;46.483333;3.316667
VIGNOBLE LAFONT;3210 Chemilly;3073;46.483333;3.316667
FONT BLANCHE;3230 Chézy;3076;46.616667;3.466667
LA FONT COUPE;3110 Cognat-Lyonne;3080;46.1;3.3
LE FONT FRIOLE;3110 Cognat-Lyonne;3080;46.1;3.3
CHAMP DE LA FONT;3600 Colombier;3081;46.266667;2.8
FONT AUX BOEUFS;3600 Colombier;3081;46.266667;2.8
LA FONT DU MONT;3600 Colombier;3081;46.266667;2.8
LE GRAND PRE DE LA FONT;3600 Colombier;3081;46.266667;2.8
PRE DE FONTBONNE;3600 Colombier;3081;46.266667;2.8
PRE DE LA FONT;3600 Colombier;3081;46.266667;2.8
PRE DE LA FONT DU MONT;3600 Colombier;3081;46.266667;2.8
LA FONT;3600 Colombier;3081;46.266667;2.8
RUE DE LA FONT;3600 Colombier;3081;46.266667;2.8
LA FONT;3600 Commentry;3082;46.283333;2.75
LA FONT ROLANT;3470 Coulanges;3086;46.483333;3.866667
TAILLIS DE LA FONT BOUSSIC;3470 Coulanges;3086;46.483333;3.866667
LOT LA FONT SAINT MARTIN;3320 Couleuvre;3087;46.666667;2.916667
LA FONT CHAVAUD;3320 Couleuvre;3087;46.666667;2.916667
FONT LOT;3320 Couleuvre;3087;46.666667;2.916667
LA FONT MACON;3320 Couleuvre;3087;46.666667;2.916667
LES FONTS;3320 Couleuvre;3087;46.666667;2.916667
PRE DE LA FONT;3320 Couleuvre;3087;46.666667;2.916667
CHE DES FONTS MAISONS;3330 Coutansouze;3089;46.216667;3.033333
LA FONT DES LANGES;3160 Couzon;3090;46.65;3.116667
LA FONT BAGNOLET;3240 Cressanges;3092;46.45;3.166667
LA FONT SAINT JULIEN;3240 Cressanges;3092;46.45;3.166667
LA FONT BOUDIN;3300 Creuzier-le-Neuf;3093;46.183333;3.433333
LA FONT PIN;3300 Creuzier-le-Neuf;3093;46.183333;3.433333
RUE DE LA GRAND FONT;3300 Creuzier-le-Vieux;3094;46.166667;3.433333
LA FONT DU LOUP;3300 Cusset;3095;46.133333;3.466667
VILLAGE LAFONT;3300 Cusset;3095;46.133333;3.466667
LAFONT;3300 Cusset;3095;46.133333;3.466667
CHAMP DE LAFONT;3300 Cusset;3095;46.133333;3.466667
CHE DU CHATEAU DE LAFONT;3300 Cusset;3095;46.133333;3.466667
CHE DE LA FONT FIOLANT;3300 Cusset;3095;46.133333;3.466667
CHE DE LAFONT;3300 Cusset;3095;46.133333;3.466667
CHE DE LAFONT AUX BOURSES;3300 Cusset;3095;46.133333;3.466667
LA FONT DURAND;3170 Deneuille-les-Mines;3097;46.366667;2.783333
LA FONT CHAUDE;3410 Domérat;3101;46.35;2.533333
FONT CLAUDE;3410 Domérat;3101;46.35;2.533333
LA FONT D'EFFET;3410 Domérat;3101;46.35;2.533333
LA FONT DE SAINT PARDOUX;3410 Domérat;3101;46.35;2.533333
LA FONT DE ST MAUR;3410 Domérat;3101;46.35;2.533333
LA FONT LAUDET;3410 Domérat;3101;46.35;2.533333
PRE DE LA FONT;3410 Domérat;3101;46.35;2.533333
IMP DE LA FONT CHAUDE;3410 Domérat;3101;46.35;2.533333
CHEM DE FONT CLAUDE;3410 Domérat;3101;46.35;2.533333
CHEM DE LA FONT ST MAUR;3410 Domérat;3101;46.35;2.533333
LA FONT ROUGE;3290 Dompierre-sur-Besbre;3102;46.516667;3.683333
PIECE DE LA FONT;3130 Le Donjon;3103;46.35;3.8
PRE DE LA FONT;3130 Le Donjon;3103;46.35;3.8
LA FONT RABAUD;3170 Doyet;3104;46.333333;2.8
FONT JARRET;3450 Ebreuil;3107;46.116667;3.083333
CHE DE LA FONT;3450 Ebreuil;3107;46.116667;3.083333
FONTBELLE;3330 Echassières;3108;46.183333;2.933333
PRES DE LA FONT;3330 Echassières;3108;46.183333;2.933333
LA FONT LORANGE;3110 Escurolles;3109;46.133333;3.266667
FONT DES LARRONS;3110 Espinasse-Vozelle;3110;46.133333;3.316667
FONT TRAMAILLE;3110 Espinasse-Vozelle;3110;46.133333;3.316667
FONT VISIANT;3110 Espinasse-Vozelle;3110;46.133333;3.316667
RUE DE LA FONT DES LARRONS;3110 Espinasse-Vozelle;3110;46.133333;3.316667
LA FONT THENEUILLE;3190 Estivareilles;3111;46.416667;2.616667
FONT LIS;3140 Etroussat;3112;46.216667;3.216667
LA FONT SAINT GEORGES;3140 Etroussat;3112;46.216667;3.216667
RUE DE LA FONT ST GEORGES;3140 Etroussat;3112;46.216667;3.216667
LA FONT;3250 Ferrières-sur-Sichon;3113;46.016667;3.633333
FONT DU RENARD;3250 Ferrières-sur-Sichon;3113;46.016667;3.633333
FONT GIRAUD;3250 Ferrières-sur-Sichon;3113;46.016667;3.633333
FONT NALIA;3250 Ferrières-sur-Sichon;3113;46.016667;3.633333
PRE DE LA FONT;3250 Ferrières-sur-Sichon;3113;46.016667;3.633333
PRE DE LAFONT;3250 Ferrières-sur-Sichon;3113;46.016667;3.633333
LA FONT DE L'AUNE;3140 Fleuriel;3115;46.283333;3.166667
CHE DE LA FONT DE L'AUME;3140 Fleuriel;3115;46.283333;3.166667
CHAMP DE LA FONT;3160 Franchesse;3117;46.633333;3.033333
CHAMP DE LA FONT DU RIO;3160 Franchesse;3117;46.633333;3.033333
CHAMP DE LA FONT PINET;3160 Franchesse;3117;46.633333;3.033333
CHAMP DE LA FONT VIEILLE;3160 Franchesse;3117;46.633333;3.033333
CHAMP DE LAFONT;3160 Franchesse;3117;46.633333;3.033333
CHAMP DES FONTS;3160 Franchesse;3117;46.633333;3.033333
LA FONT;3160 Franchesse;3117;46.633333;3.033333
LA FONT BEZIN;3160 Franchesse;3117;46.633333;3.033333
LA FONT BOUTARD;3160 Franchesse;3117;46.633333;3.033333
LA FONT PINET;3160 Franchesse;3117;46.633333;3.033333
LA FONT VIEILLE;3160 Franchesse;3117;46.633333;3.033333
LES FONTS BEZINS;3160 Franchesse;3117;46.633333;3.033333
PETIT CHAMP DE LAFONT;3160 Franchesse;3117;46.633333;3.033333
PLACE DE LA FONT PINET;3160 Franchesse;3117;46.633333;3.033333
LA POINTE DU FONT BEZIN;3160 Franchesse;3117;46.633333;3.033333
PRE DE LA FONT;3160 Franchesse;3117;46.633333;3.033333
PRE DE LA FONT BOUTARD;3160 Franchesse;3117;46.633333;3.033333
PRE DE LA FONT DU RIS;3160 Franchesse;3117;46.633333;3.033333
PRE DE LA FONT PINET;3160 Franchesse;3117;46.633333;3.033333
PRE DE LAFONT;3160 Franchesse;3117;46.633333;3.033333
LA PROLE DU FONT;3160 Franchesse;3117;46.633333;3.033333
LA FONT CREUZET;3800 Gannat;3118;46.1;3.2
LA FONT ROLLA;3800 Gannat;3118;46.1;3.2
CHE DE LA FONT CREUZET;3800 Gannat;3118;46.1;3.2
RUE DE LA FONT ROLLA;3800 Gannat;3118;46.1;3.2
CHE PONT DE FONTE;3800 Gannat;3118;46.1;3.2
LA FONT;3210 Gipcy;3122;46.5;3.066667
RUE DE LA FONT DE LA VILLE;3190 Givarlais;3123;46.45;2.65
BOIS DES NEUFS FONTS;3250 La Guillermie;3125;45.983333;3.65
LA FONT CHOPIN;3250 La Guillermie;3125;45.983333;3.65
FONT VIGNOLLE;3250 La Guillermie;3125;45.983333;3.65
FONTS CHAUDES;3250 La Guillermie;3125;45.983333;3.65
LES FONTS CHAUDES;3250 La Guillermie;3125;45.983333;3.65
PRES DES NEUFS FONTS;3250 La Guillermie;3125;45.983333;3.65
LA FONT;3190 Hérisson;3127;46.516667;2.716667
FONTBONNE;3600 Hyds;3129;46.283333;2.833333
FONTBONNE D'EN BAS;3600 Hyds;3129;46.283333;2.833333
FONTBONNE D'EN HAUT;3600 Hyds;3129;46.283333;2.833333
FONTBELLE;3450 Lalizolle;3135;46.15;3
CHE DE FONT ROUILLE;3450 Lalizolle;3135;46.15;3
IMP DES FONTS CHAPELLE;3450 Lalizolle;3135;46.15;3
LA FONT DE L'ANE;3380 Lamaids;3136;46.3;2.433333
LA FONT;3150 Langy;3137;46.266667;3.466667
CHE DE LA FONT;3150 Langy;3137;46.266667;3.466667
LA FONT BLANCHE;3250 Lavoine;3141;45.966667;3.7
LA FONT CARREE;3250 Lavoine;3141;45.966667;3.7
FONT DU VACHER;3250 Lavoine;3141;45.966667;3.7
LA FONT FROIDE;3250 Lavoine;3141;45.966667;3.7
FONT MARTIN;3250 Lavoine;3141;45.966667;3.7
LA FONT NEUVE;3250 Lavoine;3141;45.966667;3.7
CHE DE LA FONT BLANCHE;3250 Lavoine;3141;45.966667;3.7
CHAMPS DE LA FONT;3360 Lételon;3143;46.656407;2.586476
LA FONT SAINT PIERRE;3130 Loddes;3147;46.283333;3.766667
LAFONT ;3130 Loddes;3147;46.283333;3.766667
RUE LA FONT SAINT PIERRE;3130 Loddes;3147;46.283333;3.766667
LA FONT VERGNE;3350 Louroux-Bourbonnais;3150;46.533333;2.85
LE CHAMP DE LA FONT;3600 Louroux-de-Beaune;3151;46.3;2.866667
LE CURY DE LA FONT;3600 Louroux-de-Beaune;3151;46.3;2.866667
PETIT CHAMP DE LA FONT;3600 Louroux-de-Beaune;3151;46.3;2.866667
LA FONT;3190 Louroux-Hodement;3153;46.466667;2.716667
LE CHAMBON DES LAFONTS;3130 Luneau;3154;46.366667;3.95
LES LAFONTS;3130 Luneau;3154;46.366667;3.95
FONT AUBIN;3320 Lurcy-Lévis;3155;46.716667;2.933333
LA FONT GIRARD;3260 Magnet;3157;46.216667;3.5
FONT GOURGNON;3260 Magnet;3157;46.216667;3.5
CHE DE LA FONT GIRARD;3260 Magnet;3157;46.216667;3.5
LA FONT SAUZEAU;3190 Maillet;3158;46.483333;2.65
LA FONT;3190 Maillet;3158;46.483333;2.65
RUE DE LA FONT DE LA VILLE;3190 Maillet;3158;46.483333;2.65
LA FONT COGNARD;3600 Malicorne;3159;46.3;2.783333
LA FONT MERLAN;3600 Malicorne;3159;46.3;2.783333
FONT MERLEAU;3600 Malicorne;3159;46.3;2.783333
PATURAIL DE LA FONT MERLAU;3600 Malicorne;3159;46.3;2.783333
PRE DE LA FONT;3600 Malicorne;3159;46.3;2.783333
PRE DE LA FONT MOREAU;3600 Malicorne;3159;46.3;2.783333
PRE DU RIF ET DE LA FONT;3600 Malicorne;3159;46.3;2.783333
LA FONT VARNEE;3420 Marcillat-en-Combraille;3161;46.166667;2.633333
CHAMP DE LA FONT;3210 Marigny;3162;46.583333;3.2
LA FONT BONNETTE;3800 Le Mayet-d'Ecole;3164;46.166667;3.233333
FONT BONNE EAU;3250 Le Mayet-de-Montagne;3165;46.066667;3.666667
FONT CHARDET;3250 Le Mayet-de-Montagne;3165;46.066667;3.666667
FONT RANDON;3250 Le Mayet-de-Montagne;3165;46.066667;3.666667
LA FONT;3420 Mazirat;3167;46.233333;2.533333
LA FONT BAYARD;3420 Mazirat;3167;46.233333;2.533333
LA FONT CREUSE;3420 Mazirat;3167;46.233333;2.533333
FONT DE FOUGERE;3420 Mazirat;3167;46.233333;2.533333
LA FONT SAINT MARTIN;3420 Mazirat;3167;46.233333;2.533333
DE LA FONT;3210 Meillers;3170;46.5;3.083333
LA FONT DE L'AUGE;3210 Meillers;3170;46.5;3.083333
LA FONT BOUREAU;3370 Mesples;3172;46.433333;2.35
LE GD PRE DE LA FONT BOURE;3370 Mesples;3172;46.433333;2.35
LA PETITE FONT;3370 Mesples;3172;46.433333;2.35
CHAMPS DE LA FONT;3140 Monestier;3175;46.25;3.116667
LAFONT;3130 Montaiguët-en-Forez;3178;46.266667;3.8
FONT CHAUMONT;3240 Le Montet;3183;46.4;3.05
LES PRES DE LA FONT;3000 Montilly;3184;46.616667;3.25
CHE DE LA FONT;3100 Montluçon;3185;46.333333;2.6
LA FONT;3500 Montord;3188;46.3;3.233333
CHAMP DE LA FONT;3170 Montvicq;3189;46.316667;2.816667
IMP DE LA FONT VINEE;3000 Moulins;3190;46.566667;3.333333
RUE DE LA FONT VINEE;3000 Moulins;3190;46.566667;3.333333
CHE DE LA FONT SAINT MARTIN;3190 Nassigny;3193;46.5;2.6
LA FONT CHEVRIER;3330 Naves;3194;46.183333;3.1
FONT SAINT POURCAIN;3330 Naves;3194;46.183333;3.1
LES GRANDS FONTS;3210 Noyant-d'Allier;3202;46.483333;3.116667
LA FONTARABIE;3470 Pierrefitte-sur-Loire;3207;46.5;3.816667
